PATH;/System/Characts/bcpg:entityLists/Ings;;;;;;
TYPE;bcpg:ing;;;;;;
COLUMNS;cm:name;cm:description;bcpg:ingType;bcpg:ingCEECode;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en
VALUES;5-bromo-5-nitro-1,3 dioxane;empécher la prolifération de bactéries et de levures;Conservateur;;5-bromo-5-nitro-1,3 dioxane;5-bromo-5-nitro-1,3 dioxane;5-bromo-5-nitro-1,3 dioxane
VALUES;acetylated lanolin;émollient, conditionneur;Corps gras animal;;acetylated lanolin;acetylated lanolin;acetylated lanolin
VALUES;acrylates copolymer;gélifier les phases aqueuses, épaissir, augmenter la viscosité, fixateur capillaire;Gélifiant;;acrylates copolymer;acrylates copolymer;acrylates copolymer
VALUES;acrylates/acrylamide copolymer;fixateur capillaire, filmogène;Polymer;;acrylates/acrylamide copolymer;acrylates/acrylamide copolymer;acrylates/acrylamide copolymer
VALUES;acrylates/C10-30 alkyl acrylate crosspolymer;épaissir, gélifier;Gélifiant;;acrylates/C10-30 alkyl acrylate crosspolymer;acrylates/C10-30 alkyl acrylate crosspolymer;acrylates/C10-30 alkyl acrylate crosspolymer
VALUES;alanine;conditionneur;Actif;;alanine;alanine;alanine
VALUES;alcloxa;astringent;Actif;;alcloxa;alcloxa;alcloxa
VALUES;algae;conditionneur;Extrait végétal;;algae;algae;algae
VALUES;algin;épaissir, gélifier;Gélifiant;;algin;algin;algin
VALUES;allantoin;conditionneur, protecteur;Actif;;allantoin;allantoin;allantoin
VALUES;allantoin acetyl methionine;anti-irritant, anti-pelliculaire, réparateur et lustrant capillaire;Actif;;allantoin acetyl methionine;allantoin acetyl methionine;allantoin acetyl methionine
VALUES;allantoin ascorbate;anti-oxydant, atténu les sentations de brûlures;Actif;;allantoin ascorbate;allantoin ascorbate;allantoin ascorbate
VALUES;aloe barbadensis (leaf) juice;humectant, protecteur;Extrait végétal;;aloe barbadensis (leaf) juice;aloe barbadensis (leaf) juice;aloe barbadensis (leaf) juice
VALUES;alpha isomethyl ionone;note fleurie violette;Mp parfumée;;alpha isomethyl ionone;alpha isomethyl ionone;alpha isomethyl ionone
VALUES;alpha-glucan oligosaccharide;conditionneur;Complexe;;alpha-glucan oligosaccharide;alpha-glucan oligosaccharide;alpha-glucan oligosaccharide
VALUES;aluminium chloride;anti-transpirant, astringeant, déodorant;Actif;;aluminium chloride;aluminium chloride;aluminium chloride
VALUES;aluminium chlorohydrate;anti-transpirant;Actif;;aluminium chlorohydrate;aluminium chlorohydrate;aluminium chlorohydrate
VALUES;aluminium formate (and) tartaric acid (and) trieth;agent astringent doux, déodorant;Actif;;aluminium formate (and) tartaric acid (and) trieth;aluminium formate (and) tartaric acid (and) trieth;aluminium formate (and) tartaric acid (and) trieth
VALUES;aluminium lactate;astringent, déodorant;Actif;;aluminium lactate;aluminium lactate;aluminium lactate
VALUES;aluminium starch octenylsuccinate;poudre absorbante;Charge;;aluminium starch octenylsuccinate;aluminium starch octenylsuccinate;aluminium starch octenylsuccinate
VALUES;ammonium acryloyldimethyltaurate/VP copolymer;épaississant;Polymer;;ammonium acryloyldimethyltaurate/VP copolymer;ammonium acryloyldimethyltaurate/VP copolymer;ammonium acryloyldimethyltaurate/VP copolymer
VALUES;ammonium lactate;exfoliant, humectant, tampon (pH);Sel;;ammonium lactate;ammonium lactate;ammonium lactate
VALUES;ammonium lauryl sulfate;base lavante douce;Tensio-actif;;ammonium lauryl sulfate;ammonium lauryl sulfate;ammonium lauryl sulfate
VALUES;ammonium polyacryloyldimethyl taurate;stabilisateur, viscosant;Polymer;;ammonium polyacryloyldimethyl taurate;ammonium polyacryloyldimethyl taurate;ammonium polyacryloyldimethyl taurate
VALUES;apricot kerneloil polyglyceryl-10 esters;émollient, nourrissant;Tensio-actif;;apricot kerneloil polyglyceryl-10 esters;apricot kerneloil polyglyceryl-10 esters;apricot kerneloil polyglyceryl-10 esters
VALUES;aqua (and) alcohol (and) paeonia suffruticosa;éclaircissant;Actif;;aqua (and) alcohol (and) paeonia suffruticosa;aqua (and) alcohol (and) paeonia suffruticosa;aqua (and) alcohol (and) paeonia suffruticosa
VALUES;aqua (and) hydrolyzed jojoba esters;émollient;Actif;;aqua (and) hydrolyzed jojoba esters;aqua (and) hydrolyzed jojoba esters;aqua (and) hydrolyzed jojoba esters
VALUES;aqua (and) propylene glycol (and) hedera helix;drainant;Actif;;aqua (and) propylene glycol (and) hedera helix;aqua (and) propylene glycol (and) hedera helix;aqua (and) propylene glycol (and) hedera helix
VALUES;aqua (and) propylene glycol (and) kigelia africana;tenseur;Actif;;aqua (and) propylene glycol (and) kigelia africana;aqua (and) propylene glycol (and) kigelia africana;aqua (and) propylene glycol (and) kigelia africana
